Name,Gods,Tags,Domains,Race,Alignment,Symbol
"Hakiyah, The Just Scales","Hakiyah, The Just Scales (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Hakiyah,%20The%20Just%20Scales%20139f1754c40381738f90f563dcbd040d.csv) ",Acheaorian Lesser God,Justice and Truth,Protector Aasimar,Lawful Good,
"Haku, The Liberator","Haku, The Liberator (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Haku,%20The%20Liberator%20139f1754c40381389813dfc77aaa0802.csv) ",Acheaorian Lesser God,Freedom of Spirit,Variant Elf,Chaotic Good,
"Jisan, The Bountiful","Jisan, The Bountiful (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Jisan,%20The%20Bountiful%20139f1754c4038152adbec143ea9f8de6.csv) ",Acheaorian Lesser God,Harvest and Growth,Firbolg,Neutral Evil,
"Kor, The Sage of Ages","Kor, The Sage of Ages (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Kor,%20The%20Sage%20of%20Ages%20139f1754c403813f996cd225643f908f.csv) ",Acheaorian Lesser God,Wisdom of Ages,Deep Gnome,Lawful Neutral,
"Najm, The Explorer","Najm, The Explorer (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Najm,%20The%20Explorer%20139f1754c403812cb85cf33f68ddf9eb.csv) ",Acheaorian Lesser God,Paths of Adventure,Half Elf,Chaotic Neutral,
"Selan, The Enchantress","Selan, The Enchantress (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Selan,%20The%20Enchantress%20139f1754c403817b8363dcb469ffd073.csv) ",Acheaorian Lesser God,Aesthetic Inspiration,High Elf,Chaotic Good,
"Zann, The Illuminator","Zann, The Illuminator (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Zann,%20The%20Illuminator%20139f1754c403813db771ec2282402f64.csv) ",Acheaorian Lesser God,Knowledge and Understanding,Air Genasi,True Neutral,
"Jauhar, The Gilded","Jauhar, The Gilded (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Jauhar,%20The%20Gilded%20139f1754c4038129b815c5991aade9ce.csv) ",Acheaorian Lesser God,Prosperity and Fortune,Hill Dwarf,True Neutral,
"Bala, The Melodic","Bala, The Melodic (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Bala,%20The%20Melodic%20139f1754c403817586a6e85dc56812a4.csv) ",Acheaorian Lesser God,Music and Joy,Satyr,Chaotic Good,
"Jarmik, The Benevolent","Jarmik, The Benevolent (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Jarmik,%20The%20Benevolent%20139f1754c40381c19522e314b8187135.csv) ",Acheaorian Lesser God,Charity and Community,Halfling,Neutral Good,
"Vatagatal, The Dutiful","Vatagatal, The Dutiful (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Vatagatal,%20The%20Dutiful%20139f1754c40381fabd77fb690e789879.csv) ",Acheaorian Lesser God,Honor and Responsibility,Hobgoblin,Lawful Neutral,
"Botu’Astook, The Kinkeeper","Botu’Astook, The Kinkeeper (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Botu%E2%80%99Astook,%20The%20Kinkeeper%20139f1754c403817f8582ecde16bceaad.csv) ",Acheaorian Lesser God,Heritage and Kinship,Centaur,True Neutral,
"Kiga, The Beastmaster","Kiga, The Beastmaster (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Kiga,%20The%20Beastmaster%20139f1754c40381ff97e6eec72947cea1.csv) ",Acheaorian Lesser God,Predation and Strength,Tabaxi,Neutral Evil,
"Lotha, The Shadow Queen","Lotha, The Shadow Queen (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Lotha,%20The%20Shadow%20Queen%20139f1754c40381568f1bee630b7c2419.csv) ",Acheaorian Lesser God,Deceit and Darkness,Drow,Chaotic Evil,
"Migal, The Silent","Migal, The Silent (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Migal,%20The%20Silent%20139f1754c403811b911fdd2403f6e23a.csv) ",Acheaorian Lesser God,Stealth and Knowledge,Changeling,Lawful Neutral,
"Ragarra, The Wild Fury","Ragarra, The Wild Fury (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Ragarra,%20The%20Wild%20Fury%20139f1754c403814f9ef0e30bdb4169b4.csv) ",Acheaorian Lesser God,Nature’s Fury and Chaos,Yuan-Ti Pureblood,Chaotic Neutral,
"Shajar, The River Guardian","Shajar, The River Guardian (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Shajar,%20The%20River%20Guardian%20139f1754c40381f4be33f7bda3133580.csv) ",Acheaorian Lesser God,Water and Life,Triton,True Neutral,
"Beast, The Savage","Beast, The Savage (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Beast,%20The%20Savage%20139f1754c40381c987c1e1b9b3783407.csv) ",Acheaorian Lesser God,Untamed Strength and War,Shifter,Chaotic Neutral,
"Kar’r’rga, The Temperental","Kar’r’rga, The Temperental (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Kar%E2%80%99r%E2%80%99rga,%20The%20Temperental%20139f1754c40381a48816fe9ae95e4c79.csv) ",Acheaorian Lesser God,Tempest and the Sea,Variant Triton,Chaotic Neutral,
"Drummern and Pag, The Tempest Twins","Drummern and Pag, The Tempest Twins (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Drummern%20and%20Pag,%20The%20Tempest%20Twins%20139f1754c403811f8ee9dccc46ada62f.csv) ",Acheaorian Lesser God,Rhythm of the Storms,Merfolk,Chaotic Neutral,
"The Faceless God, The Masked Doom","The Faceless God, The Masked Doom (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/The%20Faceless%20God,%20The%20Masked%20Doom%20139f1754c40381709c0fc2da526dd805.csv) ",Acheaorian Lesser God,Evil and Darkness,Warforged,Chaotic Evil,
"The Lost One, The Exiled","The Lost One, The Exiled (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/The%20Lost%20One,%20The%20Exiled%20139f1754c403812f99a9c426a52a776f.csv) ",Acheaorian Lesser God,Exile and Longing,Aarakocra,Chaotic Neutral,
"Thasmudayan, The Harbringer of the Undying","Thasmudayan, The Harbringer of the Undying (The%20Continent/Pantheons/Untitled/Acheaorian/Acheaorian%20Gods/Thasmudayan,%20The%20Harbringer%20of%20the%20Undying%20139f1754c40381e4a7cfc57985cbc434.csv) ",Acheaorian Lesser God,Death and Undeath,Dhampir,Neutral Evil,
"Auril, Goddess of Winter","Auril, Goddess of Winter (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Auril,%20Goddess%20of%20Winter%20139f1754c4038136a4bfc70799021497.csv) ",Asetherian Ascended God,"Nature, Tempest",Frost Genasi,Neutral Evil,
"Azuth, God of Wizards","Azuth, God of Wizards (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Azuth,%20God%20of%20Wizards%20139f1754c40381da9265efabd0949eca.csv) ",Asetherian Ascended God,Knowledge,High Elf,Lawful Neutral,
"Bane, God of Tyranny","Bane, God of Tyranny (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Bane,%20God%20of%20Tyranny%20139f1754c40381ff8fb8eeb44f192e7f.csv) ",Asetherian Ascended God,War,Hobgoblin,Lawful Evil,
"Beshaba, Goddess of Misfortune","Beshaba, Goddess of Misfortune (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Beshaba,%20Goddess%20of%20Misfortune%20139f1754c40381a897edc4fc44340ec1.csv) ",Asetherian Ascended God,Trickery,Night Hag,Chaotic Evil,
"Bhaal, God of Murder","Bhaal, God of Murder (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Bhaal,%20God%20of%20Murder%20139f1754c4038138a437c14471acd7ae.csv) ",Asetherian Ascended God,Death,Vampire,Neutral Evil,
"Chauntea, Goddess of Agriculture","Chauntea, Goddess of Agriculture (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Chauntea,%20Goddess%20of%20Agriculture%20139f1754c40381c48799f11660f27c9c.csv) ",Asetherian Ascended God,Life,Treant,Neutral Good,
"Cyric, God of Lies","Cyric, God of Lies (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Cyric,%20God%20of%20Lies%20139f1754c40381b193bbc917cec50d78.csv) ",Asetherian Ascended God,Trickery,Changeling,Chaotic Evil,
"Deneir, God of Writing","Deneir, God of Writing (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Deneir,%20God%20of%20Writing%20139f1754c40381fcbb24e679e337571e.csv) ",Asetherian Ascended God,Knowledge,Half-Elf,Neutral Good,
"Eldath, Goddess of Peace","Eldath, Goddess of Peace (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Eldath,%20Goddess%20of%20Peace%20139f1754c4038142aa47cdd53951cd66.csv) ",Asetherian Ascended God,"Life, Light",Water Genasi,Neutral Good,
"Gond, God of Craft","Gond, God of Craft (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Gond,%20God%20of%20Craft%20139f1754c4038178a815ec30acdac26f.csv) ",Asetherian Ascended God,Knowledge,Modron,True Neutral,
