Name,Alignment,Domains,Gods,Race,Symbol,Tags
"Auril, Goddess of Winter",Neutral Evil,"Nature, Tempest","Auril, Goddess of Winter (Ascended/Asetherian%20Ascended/Auril,%20Goddess%20of%20Winter%20139f1754c4038136a4bfc70799021497.md) ",Frost Genasi,,Asetherian Ascended God
"Themis, Titan of Justice",Lawful Good,"Law, Justice","Themis, Titan of Justice (Titans/Asetherian%20Titans/Themis,%20Titan%20of%20Justice%20139f1754c40381f38425f982917bbccb.md) ",Ancient Titan,,Aetherian Ancient Titan
"Juno, The Protector of Bonds",Lawful Good,"Protection, Oaths","Juno, The Protector of Bonds (Imperium%20Invicta/Invictian%20Gods/Juno,%20The%20Protector%20of%20Bonds%2011df1754c4038129b664c5322f1c7305.md) ",Changeling,,Invictian Lesser God
"Cyric, God of Lies",Chaotic Evil,Trickery,"Cyric, God of Lies (Ascended/Asetherian%20Ascended/Cyric,%20God%20of%20Lies%20139f1754c40381b193bbc917cec50d78.md) ",Changeling,,Asetherian Ascended God
"Bane, God of Tyranny",Lawful Evil,War,"Bane, God of Tyranny (Ascended/Asetherian%20Ascended/Bane,%20God%20of%20Tyranny%20139f1754c40381ff8fb8eeb44f192e7f.md) ",Hobgoblin,,Asetherian Ascended God
"Proserpina, The Goddess of Fertility",Neutral Good,"Fertility, Rebirth","Proserpina, The Goddess of Fertility (Imperium%20Invicta/Invictian%20Gods/Proserpina,%20The%20Goddess%20of%20Fertility%2011df1754c4038127b52ae4e58aa3ffe6.md) ",Wood Elf,,Invictian Lesser God
"Nemesis, The Goddess of Retribution",True Neutral,"Vengeance, Balance","Nemesis, The Goddess of Retribution (Imperium%20Invicta/Invictian%20Gods/Nemesis,%20The%20Goddess%20of%20Retribution%2011df1754c40381289dc8f24e4f8fe1d1.md) ",Tiefling,,Invictian Lesser God
"Ilmater, God of Endurance",Lawful Good,Life,"Ilmater, God of Endurance (Ascended/Asetherian%20Ascended/Ilmater,%20God%20of%20Endurance%20139f1754c40381c2bc5aeb9c2be0a465.md) ",Celestial Coutl,,Asetherian Ascended God
"Adamus, The Earth Keeper",True Neutral,"Earth, Agriculture","Adamus, The Earth Keeper (Titans/Asetherian%20Titans/Adamus,%20The%20Earth%20Keeper%20139f1754c40381b781d9c3b15d4ffbca.md) ",Ancient Titan,,Aetherian Ancient Titan
"Faunus, The Keeper of the Plains",True Neutral,"Wildlife, Serenity","Faunus, The Keeper of the Plains (Imperium%20Invicta/Invictian%20Gods/Faunus,%20The%20Keeper%20of%20the%20Plains%2011df1754c4038130a5a3dfb4e3c49b5c.md) ",Tabaxi,,Invictian Lesser God
"Lathander, God of Birth and Renewal",Neutral Good,"Life, Light","Lathander, God of Birth and Renewal (Ascended/Asetherian%20Ascended/Lathander,%20God%20of%20Birth%20and%20Renewal%20139f1754c40381c0824fec50acac45f5.md) ",Aasimar,,Asetherian Ascended God
"Asteria, The Night Seer",Chaotic Good,"Night, Prophecy","Asteria, The Night Seer (Titans/Asetherian%20Titans/Asteria,%20The%20Night%20Seer%20139f1754c40381a592d4c23621c6f08a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Migal, The Silent",Lawful Neutral,Stealth and Knowledge,"Migal, The Silent (Acheaorian/Acheaorian%20Gods/Migal,%20The%20Silent%20139f1754c403811b911fdd2403f6e23a.md) ",Changeling,,Acheaorian Lesser God
"Fortuna, The Wheel of Fatet",Neutral Good,"Luck, Fortune’s Change","Fortuna, The Wheel of Fatet (Imperium%20Invicta/Invictian%20Gods/Fortuna,%20The%20Wheel%20of%20Fatet%2011df1754c403813bb712df413199a35e.md) ",Wood Elf,,Invictian Lesser God
"Mnemosyne, The Keeper of Memories",Lawful Neutral,"Memory, History","Mnemosyne, The Keeper of Memories (Titans/Asetherian%20Titans/Mnemosyne,%20The%20Keeper%20of%20Memories%20139f1754c40381bd92ead187d5fbc120.md) ",Ancient Titan,,Aetherian Ancient Titan
"Talona, Goddess of Disease and Poison",Chaotic Evil,Death,"Talona, Goddess of Disease and Poison (Ascended/Asetherian%20Ascended/Talona,%20Goddess%20of%20Disease%20and%20Poison%20139f1754c403812e9e43e2743f858337.md) ",Medusa,,Asetherian Ascended God
"Olympus, The Storm",Chaotic Neutral,"Rebellion, Storms","Olympus, The Storm (Titans/Asetherian%20Titans/Olympus,%20The%20Storm%20139f1754c403817094d0d150996044fb.md) ",Ancient Titan,,Aetherian Ancient Titan
"Lotha, The Shadow Queen",Chaotic Evil,Deceit and Darkness,"Lotha, The Shadow Queen (Acheaorian/Acheaorian%20Gods/Lotha,%20The%20Shadow%20Queen%20139f1754c40381568f1bee630b7c2419.md) ",Drow,,Acheaorian Lesser God
"Deneir, God of Writing",Neutral Good,Knowledge,"Deneir, God of Writing (Ascended/Asetherian%20Ascended/Deneir,%20God%20of%20Writing%20139f1754c40381fcbb24e679e337571e.md) ",Half-Elf,,Asetherian Ascended God
"Polus, Titan of Wisdom","True Neutral ","Stars, Knowledge","Polus, Titan of Wisdom (Titans/Asetherian%20Titans/Polus,%20Titan%20of%20Wisdom%20139f1754c40381ada7e3e9a7a54ef119.md) ",Ancient Titan,,Aetherian Ancient Titan
Ceres. The Harvest Mother,Neutral Good,"Agriculture, Prosperity","Ceres. The Harvest Mother (Imperium%20Invicta/Invictian%20Gods/Ceres%20The%20Harvest%20Mother%2011df1754c4038144b147f5c165c8e6c3.md) ",Human,,Invictian Lesser God
"Silvanus, God of Wild Nature",True Neutral,Nature,"Silvanus, God of Wild Nature (Ascended/Asetherian%20Ascended/Silvanus,%20God%20of%20Wild%20Nature%20139f1754c40381279384c6fdbac99ae2.md) ",Firbolg,,Asetherian Ascended God
"Beast, The Savage",Chaotic Neutral,Untamed Strength and War,"Beast, The Savage (Acheaorian/Acheaorian%20Gods/Beast,%20The%20Savage%20139f1754c40381c987c1e1b9b3783407.md) ",Shifter,,Acheaorian Lesser God
"Pallas, Titan of Defense",Lawful Neutral,"War, Defense","Pallas, Titan of Defense (Titans/Asetherian%20Titans/Pallas,%20Titan%20of%20Defense%20139f1754c4038192a30dc38b580c9261.md) ",Ancient Titan,,Aetherian Ancient Titan
"Tymora, Goddess of Good Fortune",Chaotic Good,Trickery,"Tymora, Goddess of Good Fortune (Ascended/Asetherian%20Ascended/Tymora,%20Goddess%20of%20Good%20Fortune%20139f1754c40381dc8a95de6f367dfa0f.md) ",Halfling,,Asetherian Ascended God
"Milil, God of Poetry and Song",Neutral Good,Light,"Milil, God of Poetry and Song (Ascended/Asetherian%20Ascended/Milil,%20God%20of%20Poetry%20and%20Song%20139f1754c403814fbd43f6b919813d21.md) ",Harpy,,Asetherian Ascended God
"Thasmudayan, The Harbringer of the Undying",Neutral Evil,Death and Undeath,"Thasmudayan, The Harbringer of the Undying (Acheaorian/Acheaorian%20Gods/Thasmudayan,%20The%20Harbringer%20of%20the%20Undying%20139f1754c40381e4a7cfc57985cbc434.md) ",Dhampir,,Acheaorian Lesser God
"Astraeus, Titan of the Wind","True Neutral ","Stars, Wind","Astraeus, Titan of the Wind (Titans/Asetherian%20Titans/Astraeus,%20Titan%20of%20the%20Wind%20139f1754c403819286ddf314285c468a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Cybele, Earthen Mother",True Neutral,"Fiora, Wilderness","Cybele, Earthen Mother (Imperium%20Invicta/Invictian%20Gods/Cybele,%20Earthen%20Mother%2011df1754c403814da9a0c49f60893167.md) ",Half Eladrin Elf,,Invictian Lesser God
"Savras, God of Divination and Fate",Lawaful Neutral,Knowledge,"Savras, God of Divination and Fate (Ascended/Asetherian%20Ascended/Savras,%20God%20of%20Divination%20and%20Fate%20139f1754c403815790e2f689a2a0365d.md) ",Kalashtar,,Asetherian Ascended God
"Waukeen, God of Trade",True Neutral,"Knowledge, Trickery","Waukeen, God of Trade (Ascended/Asetherian%20Ascended/Waukeen,%20God%20of%20Trade%20139f1754c40381dc9286e9c27fc4d70b.md) ",Half-Elf,,Asetherian Ascended God
"Nyx, The Mistress of the Void",Neutral Evil,"Darkness, Cosmic Mysteries","Nyx, The Mistress of the Void (Imperium%20Invicta/Invictian%20Gods/Nyx,%20The%20Mistress%20of%20the%20Void%20139f1754c403801193c1eb2dab822c7b.md) ",Drow,,"Hellenorian Lesser God, Invictian Lesser God"
"Epimetheus,, The Beast Tamer",Chaotic Neutral,"Beast, Impulse","Epimetheus,, The Beast Tamer (Titans/Asetherian%20Titans/Epimetheus,,%20The%20Beast%20Tamer%20139f1754c403810a828eeba7d1e6cda9.md) ",Ancient Titan,,Aetherian Ancient Titan
"Pomona, The Guardian Goddess of Harvest",Neutral Good,"Fruits, Harvest","Pomona, The Guardian Goddess of Harvest (Imperium%20Invicta/Invictian%20Gods/Pomona,%20The%20Guardian%20Goddess%20of%20Harvest%2011df1754c403814e9cedec669fbdda0a.md) ",Halfing,,Invictian Lesser God
"Senectus, The Patron of Rest",True Neutral,"Rest, Peaceful Death","Senectus, The Patron of Rest (Imperium%20Invicta/Invictian%20Gods/Senectus,%20The%20Patron%20of%20Rest%2011df1754c4038153a729cacbb488ad49.md) ",Human,,Invictian Lesser God
"Vulcan, The Artisan of Creation",Lawful Neutral,Craftmanship,"Vulcan, The Artisan of Creation (Imperium%20Invicta/Invictian%20Gods/Vulcan,%20The%20Artisan%20of%20Creation%2011df1754c40381529d7cddb5a9c9edf7.md) ",Warforged,,Invictian Lesser God
"Atlas, The Strength Bearer",Lawful Neutral,"Endurance, Strength","Atlas, The Strength Bearer (Titans/Asetherian%20Titans/Atlas,%20The%20Strength%20Bearer%20139f1754c40381109ba7deae5b86c2d9.md) ",Ancient Titan,,Aetherian Ancient Titan
"Oghma, God of Knowledge",True Neutral,Knowledge,"Oghma, God of Knowledge (Ascended/Asetherian%20Ascended/Oghma,%20God%20of%20Knowledge%20139f1754c4038130959ad431529a3b33.md) ",Gnome,,Asetherian Ascended God
"Aurora, The First Light",Neutral Good,"Dawn, New Beginnings","Aurora, The First Light (Imperium%20Invicta/Invictian%20Gods/Aurora,%20The%20First%20Light%2011df1754c4038157aad4dd14605f85b3.md) ",Aasimar,,Invictian Lesser God
"Loviatar, Goddess of Pain",Lawful Evil,Death,"Loviatar, Goddess of Pain (Ascended/Asetherian%20Ascended/Loviatar,%20Goddess%20of%20Pain%20139f1754c40381beb232d97e86c94c4d.md) ",Drow,,Asetherian Ascended God
"Botu’Astook, The Kinkeeper",True Neutral,Heritage and Kinship,"Botu’Astook, The Kinkeeper (Acheaorian/Acheaorian%20Gods/Botu%E2%80%99Astook,%20The%20Kinkeeper%20139f1754c403817f8582ecde16bceaad.md) ",Centaur,,Acheaorian Lesser God
"Beshaba, Goddess of Misfortune",Chaotic Evil,Trickery,"Beshaba, Goddess of Misfortune (Ascended/Asetherian%20Ascended/Beshaba,%20Goddess%20of%20Misfortune%20139f1754c40381a897edc4fc44340ec1.md) ",Night Hag,,Asetherian Ascended God
"Syceus, Titan of Growth",Chaotic Neutral,"Earth, Growth","Syceus, Titan of Growth (Titans/Asetherian%20Titans/Syceus,%20Titan%20of%20Growth%20139f1754c40381c99753cd85ab24ef4c.md) ",Ancient Titan,,Aetherian Ancient Titan
"Iapetus, The Doom Herald",Lawful Evil,"Mortality, Doom","Iapetus, The Doom Herald (Titans/Asetherian%20Titans/Iapetus,%20The%20Doom%20Herald%20139f1754c40381f1838fe1afeed06e6e.md) ",Ancient Titan,,Aetherian Ancient Titan
"Caelus, The Celestial Scholar",Lawful Neutral,Astronomy. Celestial Knowledge,"Caelus, The Celestial Scholar (Imperium%20Invicta/Invictian%20Gods/Caelus,%20The%20Celestial%20Scholar%2011df1754c403816198b8f4857f74da37.md) ",Air Genasi,,Invictian Lesser God
"Ragarra, The Wild Fury",Chaotic Neutral,Nature’s Fury and Chaos,"Ragarra, The Wild Fury (Acheaorian/Acheaorian%20Gods/Ragarra,%20The%20Wild%20Fury%20139f1754c403814f9ef0e30bdb4169b4.md) ",Yuan-Ti Pureblood,,Acheaorian Lesser God
"Cronus, Titan of Time",Lawful Evil,"Time, Harvest","Cronus, Titan of Time (Titans/Asetherian%20Titans/Cronus,%20Titan%20of%20Time%20139f1754c40381f09941ec379805c544.md) ",Ancient Titan,,Aetherian Ancient Titan
"Hoplodamus, Titan of Guardianship",Lawful Neutral,"War, Guardianship","Hoplodamus, Titan of Guardianship (Titans/Asetherian%20Titans/Hoplodamus,%20Titan%20of%20Guardianship%20139f1754c40381c6b29bc47ec63bb746.md) ",Ancient Titan,,Aetherian Ancient Titan
"Olymbrus, Titan of the Sky",Lawful Neutral,"Time, Sky","Olymbrus, Titan of the Sky (Titans/Asetherian%20Titans/Olymbrus,%20Titan%20of%20the%20Sky%20139f1754c40381e6a69be159ef6a5a44.md) ",Ancient Titan,,Aetherian Ancient Titan
"Haku, The Liberator",Chaotic Good,Freedom of Spirit,"Haku, The Liberator (Acheaorian/Acheaorian%20Gods/Haku,%20The%20Liberator%20139f1754c40381389813dfc77aaa0802.md) ",Variant Elf,,Acheaorian Lesser God
"Selune, Goddess of the Moon",Chaotic Good,"Knowledge, Life","Selune, Goddess of the Moon (Ascended/Asetherian%20Ascended/Selune,%20Goddess%20of%20the%20Moon%20139f1754c403816bbd24c9483b6831c4.md) ",Eladrin,,Asetherian Ascended God
"Curetes, Titan of Trickery",Chaotic Neutral,"War, Trickery","Curetes, Titan of Trickery (Titans/Asetherian%20Titans/Curetes,%20Titan%20of%20Trickery%20139f1754c403817bb3d9d8162993b052.md) ",Ancient Titan,,Aetherian Ancient Titan
"Bacchus, The Bountiful Spirit",Chaotic Neutral,Revelry,"Bacchus, The Bountiful Spirit (Imperium%20Invicta/Invictian%20Gods/Bacchus,%20The%20Bountiful%20Spirit%2011df1754c4038168ac41f5dbc0534bcf.md) ",Satyr,,Invictian Lesser God
"Jauhar, The Gilded",True Neutral,Prosperity and Fortune,"Jauhar, The Gilded (Acheaorian/Acheaorian%20Gods/Jauhar,%20The%20Gilded%20139f1754c4038129b815c5991aade9ce.md) ",Hill Dwarf,,Acheaorian Lesser God
"Coeus, Titan of Shadows",Neutral Evil,"Knowledge, Shadows","Coeus, Titan of Shadows (Titans/Asetherian%20Titans/Coeus,%20Titan%20of%20Shadows%20139f1754c40381dfb06eeca633c08b9a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Chauntea, Goddess of Agriculture",Neutral Good,Life,"Chauntea, Goddess of Agriculture (Ascended/Asetherian%20Ascended/Chauntea,%20Goddess%20of%20Agriculture%20139f1754c40381c48799f11660f27c9c.md) ",Treant,,Asetherian Ascended God
"Helios, Titan of Vitality",Neutral Good,"Sun, Vitality","Helios, Titan of Vitality (Titans/Asetherian%20Titans/Helios,%20Titan%20of%20Vitality%20139f1754c40381c4bbb3e928f41e40fe.md) ",Ancient Titan,,Aetherian Ancient Titan
"Perses, Titan of Annihilation",Chaotic Evil,"Fire, Annihilation","Perses, Titan of Annihilation (Titans/Asetherian%20Titans/Perses,%20Titan%20of%20Annihilation%20139f1754c40381d9a392ee6547876f3a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Andes, Titan of Dawn","True Neutral ","Light, Renewal","Andes, Titan of Dawn (Titans/Asetherian%20Titans/Andes,%20Titan%20of%20Dawn%20139f1754c40381a1baa0f0cc1853d4ac.md) ",Ancient Titan,,Aetherian Ancient Titan
"Titan, Titan of the Harvest","True Neutral ","Agriculture, Stars","Titan, Titan of the Harvest (Titans/Asetherian%20Titans/Titan,%20Titan%20of%20the%20Harvest%20139f1754c403814ea14bd2c74711ea79.md) ",Ancient Titan,,Aetherian Ancient Titan
"Febris, The Harbringer of Ailments",Chaotic Evil,"Plagues,  Mischief","Febris, The Harbringer of Ailments (Imperium%20Invicta/Invictian%20Gods/Febris,%20The%20Harbringer%20of%20Ailments%2011df1754c403817191abdd5b3b296f54.md) ",Centaur,,Invictian Lesser God
Eurybia. Titan of Storms,"True Neutral ","Sea, Storms","Eurybia. Titan of Storms (Titans/Asetherian%20Titans/Eurybia%20Titan%20of%20Storms%20139f1754c403811db722eedf9ea65682.md) ",Ancient Titan,,Aetherian Ancient Titan
"Jisan, The Bountiful",Neutral Evil,Harvest and Growth,"Jisan, The Bountiful (Acheaorian/Acheaorian%20Gods/Jisan,%20The%20Bountiful%20139f1754c4038152adbec143ea9f8de6.md) ",Firbolg,,Acheaorian Lesser God
"Shar, Goddess of Darkness and Loss",Neautral Evil,"Death, Trickery","Shar, Goddess of Darkness and Loss (Ascended/Asetherian%20Ascended/Shar,%20Goddess%20of%20Darkness%20and%20Loss%20139f1754c403818e8b69cd2f58458e08.md) ",Shadar-Kai,,Asetherian Ascended God
"Phoebe, The Visionary",Lawful Neutral,"Prophecy, Vision","Phoebe, The Visionary (Titans/Asetherian%20Titans/Phoebe,%20The%20Visionary%20139f1754c403815da7e6ef471ba47b20.md) ",Ancient Titan,,Aetherian Ancient Titan
"The Lost One, The Exiled",Chaotic Neutral,Exile and Longing,"The Lost One, The Exiled (Acheaorian/Acheaorian%20Gods/The%20Lost%20One,%20The%20Exiled%20139f1754c403812f99a9c426a52a776f.md) ",Aarakocra,,Acheaorian Lesser God
"Kor, The Sage of Ages",Lawful Neutral,Wisdom of Ages,"Kor, The Sage of Ages (Acheaorian/Acheaorian%20Gods/Kor,%20The%20Sage%20of%20Ages%20139f1754c403813f996cd225643f908f.md) ",Deep Gnome,,Acheaorian Lesser God
"Pluto, The Lord of the Hidden",Lawful Evil,"Underworld, Forbidden Knowledge","Pluto, The Lord of the Hidden (Imperium%20Invicta/Invictian%20Gods/Pluto,%20The%20Lord%20of%20the%20Hidden%2011df1754c4038186ba6be3d24fccfb14.md) ",Tiefling,,Invictian Lesser God
"Eurynome, The Harmony",Neutral Good,"Nature, Harmony","Eurynome, The Harmony (Titans/Asetherian%20Titans/Eurynome,%20The%20Harmony%20139f1754c40381d2a60fec0e00ae1f7e.md) ",Ancient Titan,,Aetherian Ancient Titan
Spes. The Embodiment of Aspiration,Neutral Good,"Hope, Inspiration","Spes. The Embodiment of Aspiration (Imperium%20Invicta/Invictian%20Gods/Spes%20The%20Embodiment%20of%20Aspiration%2011df1754c4038183851df66f96fb2d5b.md) ",Human,,Invictian Lesser God
"Mask, God of Thieves",Chaotic Neutral,Trickery,"Mask, God of Thieves (Ascended/Asetherian%20Ascended/Mask,%20God%20of%20Thieves%20139f1754c403810b86bfe86f940ddb65.md) ",Kenku,,Asetherian Ascended God
"Crius, The War Strategist",Lawful Evil,"Constellations, Conflict","Crius, The War Strategist (Titans/Asetherian%20Titans/Crius,%20The%20War%20Strategist%20139f1754c40381a3a7ded270bcfb167c.md) ",Ancient Titan,,Aetherian Ancient Titan
"Diana, The Guardian fo the Grove",Chaotic Good,"Hunting, Adventure","Diana, The Guardian fo the Grove (Imperium%20Invicta/Invictian%20Gods/Diana,%20The%20Guardian%20fo%20the%20Grove%2011df1754c403818fa2f8fcfd11bd66be.md) ",Firbolg,,Invictian Lesser God
"Ostasus, The Timer","True Neutral ","Time, Space","Ostasus, The Timer (Titans/Asetherian%20Titans/Ostasus,%20The%20Timer%20139f1754c40381a3b0d4f07ead2e45d9.md) ",Ancient Titan,,Aetherian Ancient Titan
"Prometheus, The Sacrificed Creator",Chaotic Good,"Creation, Sacrifice","Prometheus, The Sacrificed Creator (Titans/Asetherian%20Titans/Prometheus,%20The%20Sacrificed%20Creator%20139f1754c40381d4a4b9ed037bf4706d.md) ",Ancient Titan,,Aetherian Ancient Titan
"Eos, Titan of Light",Neutral Good,"Light, Dawn","Eos, Titan of Light (Titans/Asetherian%20Titans/Eos,%20Titan%20of%20Light%20139f1754c403812f937ee51cede9916f.md) ",Ancient Titan,,Aetherian Ancient Titan
"Talos, God of Storms",Chaotic Evil,Tempest,"Talos, God of Storms (Ascended/Asetherian%20Ascended/Talos,%20God%20of%20Storms%20139f1754c403813ba012ffcf5fa927d0.md) ",Storm Giant,,Asetherian Ascended God
"Umberlee, Goddess of the Sea",Chaotic Evil,Tempest,"Umberlee, Goddess of the Sea (Ascended/Asetherian%20Ascended/Umberlee,%20Goddess%20of%20the%20Sea%20139f1754c40381d08723e8028daa0656.md) ",Kraken/Triton,,Asetherian Ascended God
"Jarmik, The Benevolent",Neutral Good,Charity and Community,"Jarmik, The Benevolent (Acheaorian/Acheaorian%20Gods/Jarmik,%20The%20Benevolent%20139f1754c40381c19522e314b8187135.md) ",Halfling,,Acheaorian Lesser God
"Clymene, The Deceptive Muse",Neutral Good,"Fame, Deception","Clymene, The Deceptive Muse (Titans/Asetherian%20Titans/Clymene,%20The%20Deceptive%20Muse%20139f1754c40381ab91e9fcf6ab276797.md) ",Ancient Titan,,Aetherian Ancient Titan
"Bhaal, God of Murder",Neutral Evil,Death,"Bhaal, God of Murder (Ascended/Asetherian%20Ascended/Bhaal,%20God%20of%20Murder%20139f1754c4038138a437c14471acd7ae.md) ",Vampire,,Asetherian Ascended God
"Lelantos, Titan of the Wild",Chaotic Neutral,"Stealth, Wilderness","Lelantos, Titan of the Wild (Titans/Asetherian%20Titans/Lelantos,%20Titan%20of%20the%20Wild%20139f1754c40381908b26c8d5ef766d4d.md) ",Ancient Titan,,Aetherian Ancient Titan
"Malar, God of the Hunt",Chaotic Evil,Nature,"Malar, God of the Hunt (Ascended/Asetherian%20Ascended/Malar,%20God%20of%20the%20Hunt%20139f1754c4038179905cf8daee3fc887.md) ",Shifter,,Asetherian Ascended God
"Janus, The Gatekeeper",True Neutral,"Transitions, Passages","Janus, The Gatekeeper (Imperium%20Invicta/Invictian%20Gods/Janus,%20The%20Gatekeeper%2011df1754c403819fa9f7db5485f30e9b.md) ",Tiefling,,Invictian Lesser God
"Victoria, The Goddess of Triumph",Chaotic Good,"Victory, Honor","Victoria, The Goddess of Triumph (Imperium%20Invicta/Invictian%20Gods/Victoria,%20The%20Goddess%20of%20Triumph%2011df1754c40381a19efddf22488507b3.md) ",Leonin,,Invictian Lesser God
"Tethys, Titan of Navigation",Neutral Good,"Rivers, Navigation","Tethys, Titan of Navigation (Titans/Asetherian%20Titans/Tethys,%20Titan%20of%20Navigation%20139f1754c4038175be4ac3e9ce3b1f97.md) ",Ancient Titan,,Aetherian Ancient Titan
